Mês;T (°C) ;P (mm);ETP (mm);ARM (mm);ETR (mm);DEF (mm);EXC (mm);Cidade
 Abr ;25,5;144;119;55;119;0;0;Caravelas
 Mai ;24,2;120;101;74;101;0;0;Caravelas
 Jun ;22,9;97;79;92;79;0;0;Caravelas
 Jul ;22,2;110;74;100;74;0;28;Caravelas
 Ago ;22,3;65;77;89;76;1;0;Caravelas
 Set ;23,1;87;86;90;86;0;0;Caravelas
 Out ;24,2;148;108;100;108;0;30;Caravelas
 Nov ;25,1;176;122;100;122;0;54;Caravelas
 Dez ;25,6;139;137;100;137;0;2;Caravelas
 Jan ;25,2;162;124;90;124;0;0;Carinhanha
 Fev ;25,8;118;123;86;122;1;0;Carinhanha
 Mar ;25,7;88;130;56;118;13;0;Carinhanha
 Abr ;25,1;51;113;30;77;36;0;Carinhanha
 Mai ;24,4;5;103;11;24;79;0;Carinhanha
 Jun ;22,4;2;74;6;8;66;0;Carinhanha
 Jul ;22,6;2;78;3;5;73;0;Carinhanha
 Ago ;24,5;2;103;1;4;100;0;Carinhanha
 Set ;26;13;125;0;14;111;0;Carinhanha
 Out ;26,4;64;141;0;64;76;0;Carinhanha
 Nov ;26,1;117;135;0;117;18;0;Carinhanha
 Dez ;25,8;189;137;52;137;0;0;Carinhanha
Jan ;26,9;71;151;3;75;76;0;Cipó
 Fev ;26,8;70;137;1;71;66;0;Cipó
 Mar ;26,6;88;145;1;89;57;0;Cipó
 Abr ;25,7;145;122;23;122;0;0;Cipó
 Mai ;24,5;168;106;86;106;0;0;Cipó
 Jun ;23,1;137;83;100;83;0;40;Cipó
 Jul ;22,5;96;78;100;78;0;18;Cipó
 Ago ;22,5;72;79;93;79;0;0;Cipó
 Set ;23;54;84;69;78;6;0;Cipó
 Out ;25,2;33;121;29;73;48;0;Cipó
 Nov ;26,2;61;136;14;76;60;0;Cipó
 Dez ;26,5;73;148;6;80;68;0;Cipó
Jan ;23,9;181;108;100;108;0;73;Correntina
 Fev ;23,9;169;100;100;100;0;69;Correntina
 Mar ;23,7;132;105;100;105;0;27;Correntina
 Abr ;23,3;70;94;79;91;3;0;Correntina
 Mai ;22,6;7;86;36;50;36;0;Correntina
 Jun ;21,2;3;68;19;20;48;0;Correntina
 Jul ;21,2;2;70;9;11;59;0;Correntina
 Ago ;22,8;2;87;4;7;80;0;Correntina
 Set ;25,2;20;116;2;22;93;0;Correntina
 Out ;25,1;106;122;1;106;16;0;Correntina
 Nov ;24,6;164;115;50;115;0;0;Correntina
 Dez ;24,2;229;116;100;116;0;63;Correntina
Jan ;25;174;125;100;125;0;49;Guaratinga
 Fev ;24,8;143;112;100;112;0;31;Guaratinga
 Mar ;25,3;97;128;74;123;4;0;Guaratinga
 Abr ;23,9;96;101;70;100;1;0;Guaratinga
 Mai ;22,9;85;89;67;88;1;0;Guaratinga
 Jun ;21,4;63;69;63;67;2;0;Guaratinga
 Jul ;20,9;73;66;70;66;0;0;Guaratinga
 Ago ;21,2;55;71;60;65;5;0;Guaratinga
 Set ;22,7;84;86;59;85;1;0;Guaratinga
 Out ;23,4;108;101;66;101;0;0;Guaratinga
 Nov ;23,9;141;107;99;107;0;0;Guaratinga
 Dez ;24,6;128;123;100;123;0;4;Guaratinga
 Jan ;25,9;144;136;100;136;0;8;Ilhéus
 Fev ;26;190;127;100;127;0;63;Ilhéus
 Mar ;25,9;210;135;100;135;0;75;Ilhéus
 Abr ;25,1;202;114;100;114;0;88;Ilhéus
 Mai ;24;180;100;100;100;0;80;Ilhéus
 Jun ;22,7;179;79;100;79;0;100;Ilhéus
 Jul ;22,1;188;75;100;75;0;113;Ilhéus
 Ago ;22,4;136;80;100;80;0;56;Ilhéus
 Set ;23,4;148;91;100;91;0;57;Ilhéus
 Out ;24,2;148;108;100;108;0;40;Ilhéus
 Nov ;24,8;149;116;100;116;0;33;Ilhéus
 Dez ;25,4;169;132;100;132;0;37;Ilhéus
 Jan ;23,8;110;107;21;107;0;0;Irecê
 Fev ;24;91;101;19;93;8;0;Irecê
 Mar ;23,8;101;107;18;102;5;0;Irecê
 Abr ;23,3;53;95;12;59;36;0;Irecê
 Mai ;22,4;12;86;6;18;68;0;Irecê
 Jun ;21,3;6;71;3;9;62;0;Irecê
 Jul ;21;3;70;1;4;66;0;Irecê
 Ago ;21,6;3;77;1;4;73;0;Irecê
 Set ;23,2;13;93;0;13;80;0;Irecê
 Out ;24,4;39;113;0;39;74;0;Irecê
 Nov ;24,4;90;113;0;90;23;0;Irecê
 Dez ;24,1;132;114;18;114;0;0;Irecê
 Jan ;26;117;136;0;117;19;0;Itaberaba
 Fev ;26,1;91;127;0;91;36;0;Itaberaba
 Mar ;26;90;136;0;90;46;0;Itaberaba
 Abr ;25,3;68;117;0;68;49;0;Itaberaba
 Mai ;24,2;43;102;0;43;59;0;Itaberaba
 Jun ;22,7;46;79;0;46;33;0;Itaberaba
 Jul ;21,9;33;73;0;33;40;0;Itaberaba
 Ago ;22,4;24;79;0;24;55;0;Itaberaba
 Set ;23,4;21;91;0;21;70;0;Itaberaba
 Out ;25,1;42;120;0;42;78;0;Itaberaba
 Nov ;25,7;71;129;0;71;58;0;Itaberaba
 Dez ;25,9;116;139;0;116;23;0;Itaberaba
Jan ;24,7;84;119;0;84;35;0;Ituaçu
 Fev ;24,6;143;108;35;108;0;0;Ituaçu
 Mar ;24,6;92;117;27;100;17;0;Ituaçu
 Abr ;24,6;91;110;22;96;14;0;Ituaçu
 Mai ;23,2;54;93;15;61;32;0;Ituaçu
 Jun ;22,1;24;76;9;30;46;0;Ituaçu
 Jul ;21,3;16;71;5;20;51;0;Ituaçu
 Ago ;21,1;6;70;3;8;62;0;Ituaçu
 Set ;22,1;9;80;1;10;69;0;Ituaçu
 Out ;23,7;23;104;1;24;80;0;Ituaçu
 Nov ;24,4;85;113;0;85;28;0;Ituaçu
 Dez ;24,9;81;126;0;81;45;0;Ituaçu
Jan ;22,3;94;98;55;139;-41;0;Ituruçu
 Fev ;22,3;89;90;55;90;0;0;Ituruçu
 Mar ;22,2;92;96;53;94;2;0;Ituruçu
 Abr ;21,5;76;84;49;80;4;0;Ituruçu
 Mai ;19,9;56;71;42;63;8;0;Ituruçu
 Jun ;19;62;60;44;60;0;0;Ituruçu
 Jul ;18,1;63;55;51;55;0;0;Ituruçu
 Ago ;18,7;41;61;42;50;11;0;Ituruçu
 Set ;19,5;33;66;30;45;21;0;Ituruçu
 Out ;20,6;66;80;26;70;10;0;Ituruçu
 Nov ;21,6;88;89;26;88;1;0;Ituruçu
 Dez ;22,1;126;99;53;99;0;0;Ituruçu
Jan ;25,4;99;127;0;99;28;0;Jacobina
 Fev ;25,5;82;118;0;82;36;0;Jacobina
 Mar ;25,6;120;130;0;120;10;0;Jacobina
 Abr ;24,6;91;109;0;91;18;0;Jacobina
