"mes","temperatura","pluviometrico","evaPotencial","armazenHidrico","evaReal","defHidrica","excedHidrico","cidade","altHidrico","PETP"
"Jul",22.2,110,74,100,74,0,28,"Caravelas",8,36
"Ago",22.3,65,77,89,76,1,0,"Caravelas",-11,-12
"Set",23.1,87,86,90,86,0,0,"Caravelas",1,1
"Out",24.2,148,108,100,108,0,30,"Caravelas",10,40
"Nov",25.1,176,122,100,122,0,54,"Caravelas",0,54
"Dez",25.6,139,137,100,137,0,2,"Caravelas",0,2
"Jan",25.2,162,124,90,124,0,0,"Carinhanha",38,38
"Fev",25.8,118,123,86,122,1,0,"Carinhanha",-4,-5
"Mar",25.7,88,130,56,118,13,0,"Carinhanha",-30,-42
"Abr",25.1,51,113,30,77,36,0,"Carinhanha",-26,-62
"Mai",24.4,5,103,11,24,79,0,"Carinhanha",-19,-98
"Jun",22.4,2,74,6,8,66,0,"Carinhanha",-6,-72
"Jul",22.6,2,78,3,5,73,0,"Carinhanha",-3,-76
"Ago",24.5,2,103,1,4,100,0,"Carinhanha",-2,-101
"Set",26,13,125,0,14,111,0,"Carinhanha",-1,-112
"Out",26.4,64,141,0,64,76,0,"Carinhanha",0,-77
"Nov",26.1,117,135,0,117,18,0,"Carinhanha",0,-18
"Dez",25.8,189,137,52,137,0,0,"Carinhanha",52,52
"Jan",26.9,71,151,3,75,76,0,"Cipó",-4,-80
"Fev",26.8,70,137,1,71,66,0,"Cipó",-1,-67
"Mar",26.6,88,145,1,89,57,0,"Cipó",-1,-57
"Abr",25.7,145,122,23,122,0,0,"Cipó",23,23
"Mai",24.5,168,106,86,106,0,0,"Cipó",62,62
"Jun",23.1,137,83,100,83,0,40,"Cipó",14,54
"Jul",22.5,96,78,100,78,0,18,"Cipó",0,18
"Ago",22.5,72,79,93,79,0,0,"Cipó",-7,-7
"Set",23,54,84,69,78,6,0,"Cipó",-24,-30
"Out",25.2,33,121,29,73,48,0,"Cipó",-40,-88
"Nov",26.2,61,136,14,76,60,0,"Cipó",-15,-75
"Dez",26.5,73,148,6,80,68,0,"Cipó",-7,-75
"Jan",23.9,181,108,100,108,0,73,"Correntina",0,73
"Fev",23.9,169,100,100,100,0,69,"Correntina",0,69
"Mar",23.7,132,105,100,105,0,27,"Correntina",0,27
"Abr",23.3,70,94,79,91,3,0,"Correntina",-21,-24
"Mai",22.6,7,86,36,50,36,0,"Correntina",-43,-79
"Jun",21.2,3,68,19,20,48,0,"Correntina",-17,-65
"Jul",21.2,2,70,9,11,59,0,"Correntina",-9,-68
"Ago",22.8,2,87,4,7,80,0,"Correntina",-5,-85
"Set",25.2,20,116,2,22,93,0,"Correntina",-2,-96
"Out",25.1,106,122,1,106,16,0,"Correntina",0,-16
"Nov",24.6,164,115,50,115,0,0,"Correntina",49,49
"Dez",24.2,229,116,100,116,0,63,"Correntina",50,113
"Jan",25,174,125,100,125,0,49,"Guaratinga",0,49
"Fev",24.8,143,112,100,112,0,31,"Guaratinga",0,31
"Mar",25.3,97,128,74,123,4,0,"Guaratinga",-26,-31
"Abr",23.9,96,101,70,100,1,0,"Guaratinga",-4,-5
"Mai",22.9,85,89,67,88,1,0,"Guaratinga",-3,-4
"Jun",21.4,63,69,63,67,2,0,"Guaratinga",-4,-6
"Jul",20.9,73,66,70,66,0,0,"Guaratinga",7,7
"Ago",21.2,55,71,60,65,5,0,"Guaratinga",-10,-16
"Set",22.7,84,86,59,85,1,0,"Guaratinga",-1,-2
"Out",23.4,108,101,66,101,0,0,"Guaratinga",7,7
"Nov",23.9,141,107,99,107,0,0,"Guaratinga",34,34
"Dez",24.6,128,123,100,123,0,4,"Guaratinga",1,5
"Jan",25.9,144,136,100,136,0,8,"Ilhéus",0,8
"Fev",26,190,127,100,127,0,63,"Ilhéus",0,63
"Mar",25.9,210,135,100,135,0,75,"Ilhéus",0,75
"Abr",25.1,202,114,100,114,0,88,"Ilhéus",0,88
"Mai",24,180,100,100,100,0,80,"Ilhéus",0,80
"Jun",22.7,179,79,100,79,0,100,"Ilhéus",0,100
"Jul",22.1,188,75,100,75,0,113,"Ilhéus",0,113
